var,hold time
1,29.561691
6,29.551691
4,29.003658
6,25.33145
16,32.101837
8,27.851591
8,30.851763
6,32.701874
4,26.303507
2,29.551691
4,32.769875
1,25.118435
1,26.301504
16,33.2219
2,23.001316
2,30.91077
8,32.611866
16,29.701696
