"","var","hold"
"1","8",39.102237
"2","2",27.151553
"3","6",35.202013
"4","4",35.702042
"5","1",31.551805
"6","8",39.402253
"7","16",42.802448
"8","32",44.352536
"9","1",26.201499
"10","4",38.052176
"11","6",42.252417
"12","2",39.752274
"13","8",40.002288
"14","16",46.552662
"15","8",44.352536
"16","16",45.002574
"17","2",42.602437
"18","4",44.952571
"19","1",42.102408
"20","6",48.552777
"21",NA,NA
"22",NA,NA
